,Tweets
39,"Le VP Tiémoko Meyliet Koné a fait la preuve de ses qualités personnelles et professionnelles à toutes les hautes fonctions qu’il a occupées dans l’administration publique, dans le Gouvernement ivoirien et à l’extérieur de la Côte d’Ivoire. EtatdelaNation"
40,"J’ai porté mon choix sur Tiémoko Meyliet Koné pour exercer les fonctions de Vice-président. C’est un technocrate hors pair, un brillant économiste, un homme compétent et travailleur. EtatdelaNation "
41,Joyeuses Pâques à toute la communauté chrétienne ! 
42,"𝐄𝐧𝐭𝐫𝐞𝐭𝐢𝐞𝐧 𝐚𝐯𝐞𝐜 , 𝐏𝐫é𝐬𝐢𝐝𝐞𝐧𝐭 𝐝𝐞 𝐥𝐚 𝐑é𝐩𝐮𝐛𝐥𝐢𝐪𝐮𝐞 𝐭𝐨𝐠𝐨𝐥𝐚𝐢𝐬𝐞, 𝐞𝐧 𝐯𝐢𝐬𝐢𝐭𝐞 𝐝𝐞 𝐭𝐫𝐚𝐯𝐚𝐢𝐥 𝐞𝐭 𝐝’𝐚𝐦𝐢𝐭𝐢é 𝐞𝐧 𝐂ô𝐭𝐞 𝐝’𝐈𝐯𝐨𝐢𝐫𝐞, 𝐜𝐞 𝐣𝐞𝐮𝐝𝐢 𝟏𝟒 𝐚𝐯𝐫𝐢𝐥 𝟐𝟎𝟐𝟐 "
43,"Avec mon frère , Pdt de la République togolaise, nous avons décidé de mutualiser nos efforts pour préserver la paix et la sécurité dans notre sous-région, notamment au Mali, en Guinée, et au Burkina Faso. Merci cher Faure pour cette visite fructueuse à Abidjan ! "
44,"Ma déclaration et celle du Premier Ministre, , au ConseilDesMinistresCI de ce mercredi 13 avril 2022

 "
45,"Suite à la démission de  et du Gvt, une équipe resserrée sera mise en place pour plus d’efficacité et tenir compte de la conjoncture économique mondiale. Il est impératif de réduire les dépenses de l’Etat en les réorientant vers la résilience sociale et sécuritaire. "
46,"En cette journée mondiale de la santé, nous réaffirmons notre engagement à poursuivre nos actions pour un accès de tous nos concitoyens à des soins de qualité. "
47,"Entretien avec Patrice Motsepe, Président de la Confédération Africaine de Football CAF, ce lundi 04 avril 2022 "
48,"Je me félicite de l’adoption, le 30 mars dernier, en ConseilDesMinistresCI, de la Politique et de la Stratégie nationale pour une cacaoculture durable basée sur l’amélioration des revenus de nos producteurs, la lutte contre la déforestation et le travail des enfants."
49,"Le mois de mars a été marqué par le renforcement de nos relations diplomatiques, la diversification de notre économie ainsi que la prise de mesures pour préserver le pouvoir d’achat de nos concitoyens. "
50,"Excellents échanges avec M. Patrice Motsepe, Président de _Online. C'est avec fierté que nous accueillerons en Côte d'Ivoire 🇨🇮 la 34e édition de la Coupe d’Afrique des Nations de Football. Nous sommes mobilisés pour faire de la CAN2023 un grand succès ! "
51,"L’inclusion sociale des populations défavorisées et vulnérables et la lutte contre la pauvreté sont une  priorité. Nous avons décidé de pérenniser les acquis des filets sociaux avec la mise en place, sur la période 2022-2025, d’un nouveau programme "
52,"Je me félicite tout particulièrement de l’adoption, le 30 mars 2022, de la Politique et de la Stratégie nationale pour une cacaoculture durable basée sur l’amélioration des revenus de nos producteurs, la lutte contre la déforestation et le travail des enfants. "
53,"Ce jeudi, j'ai pris part à la levée de corps de Hadja Fatoumata Fofana, mère du Ministre Ally Coulibaly. 

Je réitère mes condoléances les plus émues au Ministre Ally Coulibaly et à sa famille.

Que son âme repose en paix! "
54,"Entretien avec _UN , Secrétaire Général Adjoint des Nations Unies aux Opérations de Maintien de la Paix, ce jeudi 31 mars 2022, au Palais de la Présidence de la République. "
55,"Avec _UN, SG Adjoint des  aux Opérations de maintien de la paix, nous avons évoqué le défi sécuritaire régional ainsi que la contribution majeure de la CI 🇨🇮 aux différentes opérations de maintien de la Paix de l’ONU. "
56,"Entretien avec , Commissaire européenne aux Partenariats Internationaux, ce mercredi 30 mars 2022 "
57,"Je me suis entretenu aujourd’hui avec , Commissaire européenne aux partenariats internationaux. 
Nous avons abordé la situation en Ukraine ainsi que notre excellente collaboration pour répondre aux enjeux de l'inclusion des jeunes et du cacao durable 🇨🇮🇪🇺 "
58,"Entretien avec , Président du Conseil Économique, Social et Environnemental de la République française, ce mardi 29 mars 2022, au Palais de la Présidence de la République "
59,"Fructueux échanges avec , Pdt du Conseil Économique Social et Environnemental de 🇫🇷 , en visite de travail en CotedIvoire 🇨🇮
La coopération entre ces deux Institutions sœurs et l’actualité internationale ont marqué nos discussions. "
60,"Ce vendredi, j'ai présenté mes condoléances au Ministre Ally Coulibaly et à sa famille suite au rappel à Dieu de leur mère, Hadja Fatoumata Fofana. 

Je partage leur peine et je leur réitère ma solidarité en cette douloureuse circonstance.

Que son âme repose en paix ! "
61,"Garantir l’accès des populations en eau potable, une priorité pour notre pays ! "
62,"C’est avec une grande tristesse que j’ai appris le décès de mon jeune frère, Soumeylou Boubeye Maiga, ancien Premier Ministre du Mali. 

En cette douloureuse circonstance, j’adresse mes condoléances les plus émues à sa famille et à ses proches.

Que son âme repose en paix ! "
63,"Mes chaleureuses félicitations à notre Miss, , 2e Dauphine au concours Miss Monde, pour avoir dignement représenté notre pays et magnifié  la culture ivoirienne sur la scène mondiale. 

Nous sommes fiers de toi ! "
64,"…et pour la reconstruction de la Case des Enfants, le premier centre d'accueil pour enfants de la Fondation. "
65,Félicitations à  et à toute l’équipe de la Fondation Children of Africa pour le succès de ce 8e Dîner de Gala destiné à récolter des fonds pour la construction d’un Centre d’Accueil pour les femmes victimes de violences basées sur le genre… 
66,"Cérémonie de Commémoration de l'an 1 du décès du Premier Ministre Hamed Bakayoko, ce jeudi 10 mars 2022, à la Grande Mosquée de la Riviera-Golf "
67,"Moments de grande émotion, ce jeudi, à la Grande Mosquée de la Riviera-Golf, à l'occasion de la commémoration du 1er anniversaire du rappel à Dieu du Premier Ministre Hamed Bakayoko. 

Nous avons formulé des prières pour le repos de son âme. "
68,"En ConseilDesMinistresCI aujourd’hui, nous avons pris des décisions importantes, notamment la subvention et le plafonnement des prix de certains produits de grande consommation pour préserver le pouvoir d’achat de nos populations."
69,La lutte contre la cherté de la vie est au cœur de notre action. ConseilDesMinistresCI 
70,"En cette Journée Internationale de la Femme, je rends hommage à toutes nos mères, nos sœurs et nos filles qui œuvrent au développement de notre beau pays ! JournéeInternationaleDeLaFemme "
71,"….le 35e Sommet ordinaire de l’Union Africaine à AddisAbeba et le Sommet extraordinaire de la CEDEAO sur la situation politique au Mali, en Guinée et au Burkina Faso, en vue d’un retour à l’ordre constitutionnel dans ces pays frères."
72,…..le Sommet UEUA où j’ai insisté sur la nécessité de prendre en compte les conditions de vie de nos planteurs dans la production cacaoyère durable ;
73,"Plusieurs rencontres majeures ont ponctué ce mois de février 2022, notamment une visite de travail à Bruxelles à l’invitation des autorités belges ; "
74,"Entretien avec Ahmed Bin Abdul Aziz KATTAN, Conseiller à la Cour Royale, Emissaire du Roi d’ArabieSaoudite "
75,"Riches échanges ce jour avec , Émissaire du Roi Salmane Ben Abdelaziz AL SOUD, d'Arabie Saoudite. 
Nous souhaitons consolider les relations fortes qui unissent nos deux pays. "
76,"Cérémonie de présentation des Lettres de créance des Ambassadeurs désignés de Djibouti, d'Iran, du Japon, du Pakistan et de Namibie en Côte d'Ivoire "
77,"Mes vœux de plein succès aux nouveaux Ambassadeurs de Djibouti, d’Iran, du Japon, du Pakistan et de la Namibie en CI ! 
La Côte d'Ivoire entend aller encore plus loin dans le renforcement et la diversification de notre excellente coopération avec leurs pays. "
78,: COMMUNIQUE DE LA PRESIDENCE DE LA RÉPUBLIQUE 
79,"Réunion du  Conseil Politique du RHDP, ce lundi 28 février 2022 "
80,"Je félicite tous les membres des nouvelles instances et je les encourage à aller dans les régions, les départements, les villes et les villages pour remobiliser nos militants et prôner les idéaux de paix, de rassemblement et de dialogue du RHDP. "
81,La réorganisation  du Directoire du RHDP et la création  d’un Secrétariat Exécutif permettront de consolider nos acquis et d’améliorer nos performances. 
82,: Décisions et annonces principales du ConseilDesMinistresCI de ce mercredi 23 février 2022 
83,": Communiqué du Conseil National de Sécurité de ce jeudi 24 février 2022.  
ConseilNationalDeSécurité 
"
84,"Réunion du Conseil National de Sécurité, ce jeudi 24 février 2022
ConseilNationalDeSécurité "
85,"Lors de la réunion du ConseilNationalDeSécurité, j’ai insisté sur la nécessité de poursuivre les actions de développement local ainsi que les initiatives génératrices de revenus initiée dans la région Nord de notre pays afin de lutter contre l’extrémisme dans cette zone. "
86,: 𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐪𝐮𝐞́ 𝐝𝐮 𝐂𝐨𝐧𝐬𝐞𝐢𝐥 𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐝𝐞 𝐒𝐞́𝐜𝐮𝐫𝐢𝐭𝐞́ 
87,…la saisie des équipements de dragage et la sécurisation du domaine fluvio-lagunaire. ConseilDesMinistresCI
88,"Face à la prolifération alarmante de travaux de remblayage non autorisés, nous avons pris des mesures fortes, notamment la suspension immédiate de tous les travaux de remblayage en cours jusqu’à la clarification foncière desdits remblais et leurs impacts environnementaux…"
89,Les problèmes environnementaux constituent une préoccupation majeure. ConseilDesMinistresCI 
90,"… et de l’Indénié-Djuablin, et les autres régions du pays et le Ghana. ConseilDesMinistresCI"
91,L’aménagement et le bitumage du tronçon Yakassé Attobrou - Bettié de 42 km permettra de rapprocher les populations de ces deux localités et de booster les échanges économiques entre les Régions de la Mé… 
92,…et préserver la confiance des populations en notre système de santé publique. ConseilDesMinistresCI
93,"Avec la création de l’Agence Africaine du Médicament, nous renforcerons la régulation des produits médicaux afin d’éradiquer la prolifération de produits pharmaceutiques de mauvaise qualité et falsifiés, "
94,"Suivez, en direct du Palais de la Présidence de la République, le compte-rendu du ConseilDesMinistresCI de ce mercredi 23 février 2022

 "
95,"Retour à Abidjan, ce mardi 22 février 2022, après une mission à Accra (Ghana), Addis-Abeba (Ethiopie) et Bruxelles (Belgique). "
96,"De retour à Abidjan après une mission à Accra, AddisAbeba et Bruxelles. 
De très bonnes perspectives pour notre pays ! "
97,Lors de nos échanges avec la Pdte du Parlement européen _President sur la future législation de l’UE sur la cacaoculture le PR  et moi avons souhaité que la production cacaoyère durable tienne compte de l’amélioration des conditions de vie de nos producteurs. 
98,"Dans le cadre du SommetUEUA, j’ai participé à une table ronde sur l’agriculture et le développement durable.
Aux côtés de mes homologues, j’ai soutenu l’adoption de systèmes de production durables et résilients: rotation des cultures, développement de l’agriculture biologique... "
99,"Entretien avec Werner Hoyer, Président de la Banque Européenne d'Investissement , ce vendredi 18 février 2022 à Bruxelles "
